"","Cidade","UF","Sexo","Idade","Peso","Altura","Curso","Opção.ENEM","Nota.ENEM","Idade.da.Escolha.do.Curso","Gosto.pela.Área.de.Exatas"
"66","Tejuçuoca","CE","Masculino",18,70,170,"Engenharia Mecânica","Sim","652.2",12,5
"67","Tejuçuoca","CE","Masculino",18,70,170,"Engenharia Mecânica","Sim","652.2",12,5
"68","Morada Nova","CE","Masculino",18,59,1.72,"Engenharia Mecânica","Sim","651.3",17,5
"69","São Benedito","CE","Masculino",18,61,1.7,"Engenharia Mecânica","Não","622.3",18,5
"70","fortaleza","CE","Masculino",19,72,173,"Ciência da Computação","Sim","Não lembro",17,5
"71","fortaleza","CE","Masculino",19,80,171,"Engenharia de Software","Sim","671",17,5
"72","Jaguaruana","CE","Feminino",22,50,156,"Engenharia de Software","Sim","627.8",19,3
"73","Russas","CE","Masculino",28,80,165,"Ciência da Computação","Sim",NA,26,5
"74","Santa Catarina","CE","Masculino",20,77,1.69,"Engenharia Mecânica","Sim","670",16,4
"75","Russas","CE","Masculino",18,75,1.85,"Engenharia de Software","Sim","640",16,3
"76","São Paulo","SP","Feminino",18,51,1.60,"Engenharia Civil","Sim","676.14",14,5
"77","Tabuleiro do Norte","CE","Masculino",18,66,1.73,"Engenharia Mecânica","Sim","648.04",17,5
"78","Russas","CE","Masculino",19,79,1.65,"Engenharia Mecânica","Sim",NA,15,5
"79","Baraúna","RN","Feminino",21,61,1.59,"Engenharia de Produção","Sim","640",19,3
"80","fortaleza","CE","Masculino",17,73,1.75,"Engenharia Mecânica","Não","599.6",14,4
"81","fortaleza","CE","Masculino",20,80,1.70,"Engenharia Civil","Sim",NA,20,4
"82","Jaguaruna","CE","Feminino",16,52,1.60,"Engenharia Civil","Sim","499.2",13,4
"83","Cruz","CE","Masculino",19,55,1.7,"Ciência da Computação","Sim","600",17,4
"84","São Benedito","CE","Masculino",19,66,1.78,"Engenharia Civil","Sim","624",10,5
"85","Russas","CE","Masculino",22,61,1.78,"Engenharia Mecânica","Sim","661",19,4
"86","Marco","CE","Feminino",18,57.4,1.52,"Engenharia de Produção","Sim","636.1",17,4
"87","fortaleza","CE","Feminino",21,52,1.56,"Engenharia Civil","Sim","643.6",17,4
"88","São João do Jaguaribe","CE","Feminino",23,90,1.62,"Engenharia de Software","Não",NA,18,2
"89","fortaleza","CE","Feminino",20,64,1.56,"Engenharia de Produção","Não","630",19,2
"90","Russas","CE","Feminino",17,43.9,1.55,"Engenharia de Produção","Sim","604.5",17,2
"91","Limoeiro do norte","CE","Feminino",17,62,1.6,"Engenharia Civil","Não","707.3",17,4
"92","Beberibe","CE","Feminino",19,48,1.65,"Engenharia Civil","Não","595",18,3
"93","São João do Jaguaribe","CE","Feminino",17,46,1.58,"Engenharia Civil","Sim","683",16,3
"94","Limoeiro do norte","CE","Masculino",19,69,1.72,"Engenharia Civil","Não","676.5",19,4
"95","Russas","CE","Feminino",21,57,1.50,"Engenharia Mecânica","Sim",NA,14,5
"96","Pacajus","CE","Masculino",20,100,1.77,"Engenharia Mecânica","Sim",NA,18,4
"97","Russas","CE","Masculino",19,50,1.60,"Engenharia Civil","Não","663",18,3
"98","Limoeiro do norte","CE","Masculino",19,68,1.75,"Engenharia de Software","Sim","750",18,4
"99","Jaguaruana","CE","Masculino",20,66,1.71,"Ciência da Computação","Sim","609",18,5
"100","Marco","CE","Masculino",19,59,1.78,"Engenharia de Software","Não","660",18,5
"101","Russas","CE","Masculino",19,65,1.78,"Ciência da Computação","Sim","680",16,4
"102","Russas","CE","Masculino",20,72,1.70,"Engenharia Mecânica","Sim","620",16,5
"103","Russas","CE","Masculino",20,60,1.70,"Ciência da Computação","Sim","618",17,4
"104","Horizonte","CE","Masculino",20,90,1.81,"Ciência da Computação","Sim","630",18,5
"105","Fortaleza","CE","Masculino",20,82,1.73,"Engenharia de Software","Não","680",15,5
"106","Limoeiro do Norte","CE","Masculino",19,75.5,1.8,"Engenharia de Software","Sim","642",18,5
"107","Benim","CE","Masculino",20,70,1.8,"Engenharia de Software","Sim",NA,18,5
"108","Jaguaruana","CE","Feminino",18,55,1.53,"Engenharia de Produção","Sim","570",17,4
"109","São João do Jaguaribe","CE","Feminino",24,92,1.62,"Engenharia de Software","Não",NA,19,2
"110","Fortaleza","CE","Masculino",19,71,1.71,"Ciência da Computação","Sim",NA,18,5
"111","São Gonçalo do Amarante","CE","Masculino",19,72,1.75,"Engenharia de Software","Sim","599",15,4
"112","Paracuru","CE","Masculino",19,80,1.72,"Engenharia Mecânica","Sim","670",16,5
"113","Alto Santo","CE","Masculino",18,50,1.70,"Engenharia de Produção","Sim","621.14",17,4
"114","Russas","CE","Feminino",19,50,1.63,"Ciência da Computação","Sim",NA,17,5
"115","Russas","CE","Feminino",22,49,1.49,"Engenharia de Software","Sim",NA,19,4
"116","Jaguaruana","CE","Masculino",21,81.5,1.68,"Ciência da Computação","Sim","589",16,4
"117","Morada Nova","CE","Feminino",18,84,1.71,"Engenharia de Produção","Sim","645",18,5
"118","Jaguaruana","CE","Feminino",20,53,1.64,"Engenharia de Software","Sim","575",17,3
"119","Jaguaruana","CE","Feminino",18,55,1.53,"Engenharia de Produção","Sim","570",17,4
"120","Russas","CE","Masculino",20,55,1.72,"Ciência da Computação","Sim","578",18,4
"121","Russas","CE","Masculino",26,79,1.75,"Engenharia de Software","Sim","518",24,4
"122","Jaguaruana","CE","Feminino",17,53,1.58,"Engenharia de Produção","Sim",NA,17,3
"123","Russas","CE","Masculino",20,934,1.78,"Engenharia de Software","Sim",NA,18,4
"124","Limoeiro do norte","CE","Feminino",17,41,1.63,"Engenharia Mecânica","Sim","671.9",16,3
"125","Russas","CE","Masculino",28,80,1.65,"Ciência da Computação","Sim",NA,25,4
"126","Russas","CE","Masculino",19,72,1.80,"Engenharia de Software","Sim","709",18,4
"127","Limoeiro do norte","CE","Masculino",17,55,1.72,"Engenharia de Produção","Sim","652.76",15,4
"128","Morada Nova","CE","Masculino",18,58,1.63,"Engenharia de Software","Sim","699",16,5
"129","Jaguaruana","CE","Feminino",17,53,1.60,"Engenharia de Produção","Sim","547",16,4
"130","Jaguaruana","CE","Masculino",18,70,1.75,"Engenharia de Produção","Sim","614",17,3
"131","Jaguaruna","CE","Feminino",17,51,1.63,"Engenharia de Produção","Sim","588",17,4
"132","Russas","CE","Feminino",23,70,1.66,"Engenharia de Produção","Sim","691",22,4
"133","Horizonte","CE","Feminino",17,83,.167,"Engenharia de Produção","Não",NA,16,4
"134","Morada Nova","CE","Masculino",19,70,1.66,"Engenharia de Produção","Sim","578",17,4
"135","Fortaleza","CE","Feminino",18,45.3,1.71,"Engenharia de Produção","Sim","661.48",16,5
"136","Limoeiro do norte","CE","Masculino",17,66,1.71,"Engenharia de Produção","Sim","685.6",16,3
"137","Trindade","PE","Masculino",18,64,1.75,"Engenharia de Software","Sim","728",16,2
"138","Russas","CE","Masculino",18,76,1.85,"Engenharia de Software","Sim","640",17,3
"139","Palhano","CE","Feminino",20,61,1.61,"Engenharia de Produção","Não","592",18,5
"140","Tabuleiro do Norte","CE","Feminino",21,60,1.54,"Engenharia de Software","Sim",NA,17,3
